job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,years_experience
Principal Data Scientist,270468,EX,PT,United Kingdom,L,50,"Computer Vision, AWS, Git, PyTorch, Data Visualization",19
Data Analyst,101245,EN,CT,Norway,M,0,"NLP, Linux, Kubernetes",0
AI Specialist,137532,MI,FL,Switzerland,S,100,"Spark, Python, Kubernetes",3
AI Research Scientist,105092,EX,PT,Japan,M,100,"Python, Java, Statistics, Kubernetes",10
Machine Learning Researcher,87076,EX,PT,Ireland,S,50,"SQL, Deep Learning, GCP",10
Deep Learning Engineer,51083,EN,CT,India,S,50,"Tableau, Docker, SQL, NLP",1
Data Engineer,67354,MI,FT,South Korea,S,50,"R, Statistics, SQL, PyTorch",3
AI Research Scientist,107022,EN,CT,Switzerland,M,0,"PyTorch, Git, Statistics",1
Principal Data Scientist,159681,EX,FT,Denmark,S,50,"Tableau, Python, TensorFlow",16
NLP Engineer,46498,EN,CT,Israel,S,100,"SQL, Kubernetes, Statistics, Deep Learning",0
AI Software Engineer,106688,EX,PT,Ireland,M,50,"Deep Learning, Linux, Data Visualization",16
Deep Learning Engineer,85954,EN,CT,Netherlands,L,50,"SQL, Scala, Mathematics, Git, GCP",0
Computer Vision Engineer,61379,MI,CT,Finland,M,0,"Docker, Spark, Tableau, Scala, Azure",2
NLP Engineer,142410,EX,PT,Netherlands,S,0,"Python, Kubernetes, GCP",18
AI Software Engineer,77628,MI,FL,South Korea,L,100,"Python, TensorFlow, Docker",2
AI Product Manager,266476,EX,FL,Denmark,S,100,"Scala, Java, Linux, MLOps, Statistics",10
AI Software Engineer,136010,SE,FL,Sweden,L,0,"Spark, Docker, Java",6
NLP Engineer,217596,EX,CT,Canada,M,50,"NLP, PyTorch, Java",18
Computer Vision Engineer,93956,SE,FT,China,M,50,"MLOps, Kubernetes, Python, NLP",9
Head of AI,236415,EX,FT,United States,S,50,"Java, Spark, Scala",17
NLP Engineer,263686,EX,PT,Denmark,S,50,"Linux, TensorFlow, Python, Azure",17
Data Analyst,172076,EX,FL,Ireland,M,50,"Statistics, NLP, AWS, Azure, Mathematics",14
Computer Vision Engineer,171699,SE,FL,Norway,L,100,"PyTorch, Linux, Kubernetes, AWS, Docker",8
Deep Learning Engineer,63018,MI,FL,India,L,50,"SQL, Hadoop, PyTorch",3
Autonomous Systems Engineer,81157,MI,PT,Australia,S,0,"Hadoop, Kubernetes, Data Visualization",3
AI Research Scientist,70149,MI,CT,Canada,M,0,"Java, SQL, Git, Scala, NLP",3
Research Scientist,62244,MI,PT,Israel,M,0,"AWS, Statistics, Azure, Computer Vision",4
NLP Engineer,111618,EX,FT,South Korea,S,50,"Kubernetes, Java, SQL, Data Visualization, Python",18
AI Product Manager,179544,EX,CT,United States,S,100,"Python, Kubernetes, Computer Vision, Azure, Linux",17
Autonomous Systems Engineer,48540,EN,FT,China,L,100,"Azure, Deep Learning, Tableau, Kubernetes, R",0
Data Analyst,65071,MI,FL,France,S,100,"Computer Vision, Deep Learning, Kubernetes",3
Data Engineer,107552,MI,FT,Canada,L,50,"GCP, Spark, Hadoop, Git, SQL",2
Data Analyst,73672,SE,FT,Austria,M,100,"Python, Java, GCP, Azure",6
AI Research Scientist,94082,EN,PT,United States,L,0,"Scala, SQL, GCP, R, Python",1
AI Software Engineer,100927,EX,FL,Ireland,S,100,"TensorFlow, Linux, Tableau, Data Visualization",12
Data Scientist,56977,EN,FL,China,L,0,"Scala, Python, Computer Vision",0
Data Analyst,102494,MI,FL,France,L,0,"Kubernetes, Deep Learning, GCP, TensorFlow",3
Principal Data Scientist,127134,MI,CT,Denmark,M,100,"Java, Kubernetes, GCP, MLOps, Tableau",2
Autonomous Systems Engineer,76917,MI,FT,Austria,L,0,"Spark, Azure, Data Visualization, PyTorch, Docker",2
Autonomous Systems Engineer,266949,EX,FL,Norway,M,0,"Python, Hadoop, Docker, NLP",19
AI Product Manager,57968,EN,CT,United Kingdom,M,50,"PyTorch, NLP, Spark",0
Principal Data Scientist,57458,EN,CT,Netherlands,M,0,"Statistics, Scala, PyTorch, Deep Learning",1
Deep Learning Engineer,221670,EX,CT,Singapore,S,0,"Git, Python, SQL",14
Robotics Engineer,164285,SE,PT,Canada,L,100,"R, PyTorch, AWS, Azure",5
AI Specialist,79161,SE,FT,Ireland,S,0,"TensorFlow, Azure, Git",7
NLP Engineer,228183,EX,FL,Switzerland,S,0,"Git, Python, TensorFlow, Deep Learning",18
Data Scientist,119275,SE,PT,Sweden,S,50,"Computer Vision, Docker, Tableau, Linux",8
AI Architect,54769,EN,FT,Austria,M,0,"Scala, GCP, SQL, Python",1
Principal Data Scientist,119356,SE,CT,South Korea,L,100,"TensorFlow, SQL, Azure, R",8
Deep Learning Engineer,108600,SE,CT,France,S,0,"Computer Vision, Statistics, Kubernetes",7
NLP Engineer,78107,EN,PT,United Kingdom,L,50,"AWS, Python, GCP",1
Computer Vision Engineer,108379,MI,CT,Netherlands,L,50,"Git, AWS, Mathematics",4
AI Specialist,258096,EX,FL,Denmark,M,50,"GCP, Deep Learning, Computer Vision, Scala, NLP",11
Robotics Engineer,77973,MI,CT,France,S,50,"SQL, PyTorch, Scala",4
AI Architect,58188,MI,CT,Finland,M,50,"Java, NLP, Python, Azure, Linux",3
Machine Learning Engineer,57574,MI,CT,Finland,M,100,"Statistics, Deep Learning, Tableau",3
ML Ops Engineer,65202,MI,FL,China,L,50,"Hadoop, Java, R, Statistics",2
NLP Engineer,104224,EX,FT,Ireland,S,100,"Mathematics, Deep Learning, Python, Spark",12
Computer Vision Engineer,58204,MI,FT,Austria,S,50,"Scala, Hadoop, Data Visualization, Spark, Python",3
Machine Learning Engineer,133845,SE,FL,France,M,0,"MLOps, Data Visualization, Spark, Mathematics",9
Machine Learning Researcher,139398,MI,CT,Norway,L,50,"R, Scala, Kubernetes",4
Data Analyst,77967,MI,PT,China,L,50,"Python, TensorFlow, Data Visualization",2
Computer Vision Engineer,37188,EN,FL,Israel,M,0,"Azure, NLP, TensorFlow, Scala, Statistics",0
AI Software Engineer,44119,EN,FT,Canada,S,100,"Kubernetes, MLOps, NLP",0
Principal Data Scientist,267096,EX,PT,Denmark,M,50,"AWS, Kubernetes, R, Mathematics",14
AI Product Manager,89505,MI,FL,Japan,L,50,"TensorFlow, Linux, PyTorch, SQL, Tableau",2
Robotics Engineer,36240,EN,FL,Japan,S,0,"Spark, Hadoop, Data Visualization",0
Data Engineer,111536,EX,FL,Israel,S,50,"Deep Learning, Kubernetes, TensorFlow",13
AI Product Manager,98307,MI,FL,Germany,S,50,"TensorFlow, Spark, MLOps, Computer Vision",2
Head of AI,40062,EN,PT,South Korea,S,0,"Docker, PyTorch, Data Visualization, Statistics, R",0
AI Specialist,101414,EX,PT,Japan,M,50,"Mathematics, PyTorch, Docker, TensorFlow",13
Data Engineer,144386,EX,FT,Finland,M,50,"NLP, Docker, Tableau, Spark, Scala",15
AI Software Engineer,96533,SE,PT,China,L,0,"Hadoop, GCP, Computer Vision, Kubernetes, Spark",5
Head of AI,231796,EX,CT,Switzerland,M,0,"Git, Mathematics, Computer Vision, Deep Learning",15
Computer Vision Engineer,51736,EN,FT,France,S,0,"Statistics, Python, SQL, Spark, Computer Vision",0
ML Ops Engineer,166725,EX,FT,Netherlands,M,100,"NLP, Computer Vision, Deep Learning",15
Machine Learning Researcher,66524,EN,FT,United Kingdom,S,100,"Python, Java, GCP",1
Head of AI,129293,EX,FL,China,L,50,"Deep Learning, Spark, NLP",15
Research Scientist,77228,EN,PT,Canada,L,100,"Git, R, Linux, SQL, Statistics",1
Computer Vision Engineer,71351,MI,FL,Israel,M,50,"AWS, Python, Java, SQL, Computer Vision",4
Head of AI,139187,SE,FL,United States,M,0,"TensorFlow, Java, Git, Computer Vision",9
Data Engineer,222945,SE,CT,Norway,L,100,"Scala, Docker, Tableau",9
Deep Learning Engineer,205113,SE,PT,Switzerland,M,0,"SQL, TensorFlow, Tableau, Linux, Computer Vision",6
AI Software Engineer,151884,EX,FT,Ireland,S,0,"TensorFlow, SQL, GCP, Kubernetes",14
Robotics Engineer,183433,EX,FL,Singapore,M,0,"TensorFlow, Spark, Git",16
Deep Learning Engineer,91566,SE,CT,Ireland,L,100,"NLP, SQL, Spark, PyTorch",5
Machine Learning Researcher,61419,EN,FT,China,L,50,"Python, Kubernetes, Tableau, Azure, Deep Learning",1
AI Consultant,59222,EN,FT,Australia,M,100,"Python, Spark, MLOps, Linux",0
AI Product Manager,158916,SE,CT,Sweden,L,100,"Mathematics, R, Statistics",6
AI Specialist,84294,MI,CT,France,M,50,"Docker, PyTorch, Kubernetes",3
Machine Learning Engineer,215098,EX,PT,United Kingdom,L,100,"Java, Mathematics, Linux, Scala",11
AI Architect,91668,SE,CT,India,M,0,"SQL, Kubernetes, PyTorch",9
AI Research Scientist,62523,MI,FL,Finland,L,0,"Python, R, Statistics, Docker",4
AI Consultant,53064,EN,CT,China,M,0,"Tableau, Docker, Python, Spark",0
Deep Learning Engineer,108975,MI,FT,Sweden,L,50,"Python, Linux, Docker, GCP, Azure",2
Head of AI,46475,EN,CT,South Korea,M,50,"Python, Java, Computer Vision, GCP",0
Robotics Engineer,241026,EX,FL,Denmark,S,50,"Scala, Java, Kubernetes, MLOps",16
Machine Learning Researcher,52064,MI,PT,Israel,S,100,"Scala, Linux, Python",4
Head of AI,103101,MI,FT,Netherlands,L,0,"Spark, Linux, Scala, Statistics",3
AI Specialist,55250,EN,FT,France,L,50,"PyTorch, Docker, Tableau, Data Visualization",1
NLP Engineer,76594,MI,PT,Ireland,M,0,"Git, GCP, Tableau",4
AI Architect,91259,MI,FT,Germany,M,100,"Mathematics, Kubernetes, Python",3
Research Scientist,219333,EX,FT,Sweden,S,0,"R, SQL, Deep Learning, Computer Vision",13
Data Scientist,144440,EX,PT,Japan,S,0,"Scala, Docker, Statistics, Spark",18
AI Software Engineer,253997,EX,PT,United Kingdom,L,50,"Mathematics, AWS, Computer Vision, Tableau, Spark",15
Data Analyst,99888,SE,PT,India,M,0,"Git, Kubernetes, Tableau, Linux",7
AI Software Engineer,166682,EX,FL,Ireland,M,0,"NLP, Linux, SQL",19
Data Scientist,185005,EX,PT,Sweden,M,0,"Git, Python, NLP, Mathematics, Azure",15
AI Specialist,102093,SE,FT,Australia,S,0,"Tableau, Git, SQL, Hadoop, Spark",6
ML Ops Engineer,122846,SE,FL,Sweden,L,100,"Python, Docker, Statistics, GCP, AWS",5
AI Specialist,179455,EX,CT,Canada,S,50,"Linux, Statistics, MLOps, Java, Scala",14
AI Architect,147573,EX,FT,Finland,S,100,"GCP, SQL, Python, Mathematics, Scala",10
AI Research Scientist,119356,SE,FL,Japan,L,50,"Azure, Java, Deep Learning, Python",8
Data Analyst,109174,MI,FT,Denmark,S,100,"Spark, Python, Mathematics, Tableau",2
Machine Learning Engineer,71630,MI,FT,France,M,100,"SQL, Scala, Git",4
NLP Engineer,56991,EN,FT,Finland,M,0,"Java, Hadoop, Tableau, Python, GCP",1
Research Scientist,114320,MI,FL,Netherlands,M,100,"Linux, AWS, Computer Vision",4
AI Software Engineer,106903,SE,FT,Australia,S,50,"Git, Data Visualization, Computer Vision",7
AI Consultant,74385,EN,CT,United States,S,0,"SQL, Spark, Scala, R, Kubernetes",1
Principal Data Scientist,207046,SE,FT,Denmark,L,0,"MLOps, SQL, Hadoop, PyTorch, Kubernetes",8
Robotics Engineer,268848,EX,FL,Singapore,L,50,"Mathematics, Python, Azure, Statistics",19
Machine Learning Engineer,36066,EN,FT,South Korea,M,50,"SQL, GCP, Computer Vision, Linux",1
Machine Learning Engineer,56533,EN,FL,Sweden,M,50,"PyTorch, Git, Statistics",0
AI Software Engineer,97159,SE,PT,Canada,S,100,"AWS, SQL, PyTorch",8
Data Scientist,47232,EN,FL,China,M,50,"NLP, AWS, Hadoop, Computer Vision, Kubernetes",1
NLP Engineer,167289,SE,CT,Australia,L,100,"Python, AWS, Deep Learning, Azure",5
Robotics Engineer,73714,EN,FL,United Kingdom,S,0,"MLOps, Java, AWS, R, Git",1
AI Software Engineer,69961,MI,PT,France,M,50,"Tableau, Scala, PyTorch",3
ML Ops Engineer,95710,SE,CT,Ireland,L,0,"SQL, NLP, Docker",9
ML Ops Engineer,79221,MI,CT,Finland,L,50,"R, SQL, Python, Computer Vision",4
AI Product Manager,53844,EN,CT,South Korea,L,0,"Statistics, Hadoop, Mathematics, R",1
AI Architect,53477,EN,PT,Japan,L,0,"Python, Git, Docker",1
Machine Learning Engineer,172750,MI,FT,Switzerland,L,0,"Kubernetes, Git, Python, AWS, Spark",2
Machine Learning Researcher,80355,EN,CT,Denmark,S,50,"Deep Learning, Computer Vision, Scala",1
Computer Vision Engineer,97934,MI,FT,Sweden,L,50,"TensorFlow, Java, Data Visualization, AWS",2
AI Consultant,94239,SE,FT,India,L,100,"Git, PyTorch, Scala",9
NLP Engineer,76795,SE,FL,Finland,M,0,"Hadoop, Docker, SQL, Deep Learning, Spark",9
Robotics Engineer,150823,EX,FT,Austria,S,50,"Java, Deep Learning, MLOps, SQL",14
Deep Learning Engineer,135560,SE,PT,Germany,S,50,"Linux, Scala, TensorFlow, Spark",8
Principal Data Scientist,180474,SE,CT,United Kingdom,L,50,"Azure, Scala, Kubernetes, Statistics",6
AI Architect,54679,EN,FT,United Kingdom,M,50,"Tableau, Python, Java, Linux, Data Visualization",0
Autonomous Systems Engineer,125950,SE,FT,Singapore,S,0,"Scala, Git, SQL, Statistics, Computer Vision",7
AI Product Manager,78059,EN,FL,United States,S,100,"Linux, Mathematics, AWS",0
AI Architect,81688,MI,PT,France,S,0,"AWS, Python, Computer Vision, Kubernetes, Data Visualization",2
Research Scientist,96760,EX,PT,Ireland,M,100,"SQL, TensorFlow, Computer Vision, Hadoop",17
Machine Learning Researcher,117119,SE,FT,India,L,0,"Python, GCP, Data Visualization, Git, Tableau",9
Principal Data Scientist,68659,MI,PT,Israel,L,0,"Statistics, Python, PyTorch, Linux",3
Machine Learning Researcher,55694,EN,PT,India,L,0,"Spark, Scala, Tableau",0
Data Analyst,74801,SE,FL,Japan,M,0,"Kubernetes, Docker, Tableau, GCP, AWS",5
Robotics Engineer,106248,SE,CT,Germany,M,100,"SQL, NLP, Python",5
AI Consultant,51215,EN,CT,Australia,M,100,"Python, Linux, Git, Statistics",0
AI Software Engineer,64872,MI,CT,Finland,S,100,"Spark, Statistics, Hadoop, SQL, Linux",4
AI Product Manager,57458,EN,CT,South Korea,L,100,"GCP, PyTorch, MLOps, Linux",1
Principal Data Scientist,65161,EN,FT,Ireland,L,100,"Docker, NLP, Azure",1
AI Specialist,47257,EN,CT,Finland,M,50,"MLOps, Computer Vision, Hadoop",1
Machine Learning Engineer,40485,EN,FL,Finland,S,50,"Azure, Spark, Java, TensorFlow, PyTorch",1
AI Research Scientist,82455,MI,CT,France,L,100,"Linux, Tableau, Docker, GCP",3
AI Specialist,79116,EN,FL,Switzerland,M,0,"GCP, Spark, Statistics, Python",0
Deep Learning Engineer,69009,MI,FL,Austria,L,0,"Deep Learning, R, Git",2
AI Product Manager,91092,EX,FL,India,S,0,"Git, Python, Tableau, GCP",17
Research Scientist,48306,EN,FT,Israel,S,0,"Tableau, Deep Learning, Scala, MLOps, SQL",1
Robotics Engineer,101009,EX,PT,India,S,0,"Linux, TensorFlow, GCP, Scala",18
Data Engineer,54678,EN,FL,Ireland,M,100,"GCP, MLOps, PyTorch",0
AI Product Manager,72558,MI,FT,Japan,M,50,"Git, Computer Vision, Azure, Java, Tableau",3
AI Specialist,52990,EN,FT,Canada,M,50,"Java, TensorFlow, SQL, Mathematics, Tableau",0
AI Research Scientist,158635,EX,FL,Germany,M,50,"Computer Vision, Git, Tableau",13
NLP Engineer,63645,EN,FL,Japan,L,50,"Scala, MLOps, GCP, Statistics, Java",0
Machine Learning Researcher,125124,SE,FL,United Kingdom,S,100,"Java, Data Visualization, Mathematics, R, Docker",8
AI Consultant,239573,EX,FL,France,L,0,"Scala, Python, Linux, GCP, NLP",12
Data Engineer,75428,EN,CT,France,M,50,"Java, Linux, Deep Learning, SQL, Git",0
Robotics Engineer,249930,EX,PT,United Kingdom,M,50,"Tableau, Docker, Hadoop, Azure, R",11
AI Product Manager,290579,EX,CT,Norway,L,50,"Git, Java, PyTorch",15
AI Software Engineer,173242,EX,FL,Germany,L,0,"Deep Learning, Scala, Data Visualization",16
Computer Vision Engineer,107892,MI,FL,Canada,L,50,"Data Visualization, Computer Vision, R, Tableau",4
NLP Engineer,85600,EN,FT,Sweden,L,100,"Statistics, Hadoop, GCP",1
Data Scientist,137908,SE,FL,Singapore,M,0,"TensorFlow, Docker, GCP",7
ML Ops Engineer,76495,EN,CT,Canada,L,0,"Python, TensorFlow, Statistics, Deep Learning, Data Visualization",0
Robotics Engineer,244496,EX,CT,Denmark,S,100,"GCP, Linux, Computer Vision, Tableau",19
Data Scientist,54272,EN,FL,South Korea,L,100,"Spark, Hadoop, SQL, Git, Docker",0
AI Architect,135021,SE,PT,Australia,S,100,"Linux, SQL, Computer Vision",7
Head of AI,187375,EX,CT,United States,L,50,"Java, Data Visualization, MLOps",11
Robotics Engineer,42507,EN,FL,China,M,0,"TensorFlow, SQL, Tableau, NLP, AWS",0
Research Scientist,170335,SE,FL,Netherlands,L,50,"PyTorch, Linux, Java",5
Autonomous Systems Engineer,55655,EN,FT,France,L,100,"MLOps, PyTorch, Azure",1
Data Analyst,238792,EX,PT,Norway,M,100,"R, Azure, PyTorch",19
Data Scientist,116016,SE,PT,United States,S,100,"Spark, Azure, Data Visualization, Scala, Statistics",7
Principal Data Scientist,96466,MI,CT,United States,S,0,"Scala, Deep Learning, MLOps, Linux, Tableau",2
AI Research Scientist,82013,EN,PT,Denmark,M,0,"Java, Python, TensorFlow, AWS",0
Robotics Engineer,226504,EX,FT,Australia,S,100,"PyTorch, Scala, Data Visualization, GCP",18
Autonomous Systems Engineer,186222,EX,CT,Australia,S,100,"Linux, Data Visualization, Java",15
Data Scientist,86278,SE,CT,Israel,L,0,"Kubernetes, Linux, TensorFlow, Azure, Scala",9
ML Ops Engineer,80482,MI,FL,Canada,L,100,"AWS, NLP, R, Computer Vision, Spark",4
AI Architect,58030,EN,CT,Israel,L,100,"PyTorch, Java, Kubernetes, Statistics, MLOps",0
AI Software Engineer,64989,MI,FL,Austria,M,50,"Kubernetes, Statistics, NLP",4
AI Product Manager,106727,SE,FT,United Kingdom,S,100,"Hadoop, Data Visualization, SQL, Statistics, NLP",6
Machine Learning Researcher,122715,SE,FL,Germany,M,0,"PyTorch, Git, Kubernetes, Spark",8
AI Consultant,103881,MI,FL,Canada,L,100,"Python, Java, Data Visualization, Tableau, MLOps",4
Machine Learning Researcher,151875,EX,FL,Japan,S,50,"GCP, Spark, Computer Vision, NLP, Tableau",13
Machine Learning Engineer,45978,MI,FL,South Korea,S,0,"Azure, Python, Data Visualization, TensorFlow, NLP",2
Research Scientist,331854,EX,FT,Denmark,L,50,"Hadoop, Python, TensorFlow, Scala, Java",18
Head of AI,46318,EN,FL,Germany,S,50,"R, Mathematics, Computer Vision, Docker",1
AI Architect,53136,MI,PT,Japan,S,100,"Python, Spark, NLP, R",3
Data Analyst,75085,MI,FT,Canada,S,0,"Deep Learning, Kubernetes, Spark, Scala",2
AI Architect,240150,EX,FL,United States,M,50,"PyTorch, TensorFlow, Deep Learning, Tableau, GCP",11
Machine Learning Researcher,59646,MI,FL,Japan,S,50,"AWS, Hadoop, Deep Learning, Python, MLOps",2
AI Product Manager,60749,EN,CT,United Kingdom,M,0,"Data Visualization, SQL, Statistics, Scala",1
Autonomous Systems Engineer,141332,SE,CT,Singapore,L,50,"Data Visualization, Kubernetes, SQL, Hadoop, Linux",6
Principal Data Scientist,219041,EX,FT,Germany,M,100,"Tableau, R, Python, Mathematics, NLP",12
Autonomous Systems Engineer,163357,EX,FL,Israel,M,50,"Data Visualization, Docker, SQL, GCP, Java",18
AI Research Scientist,208210,EX,FL,Singapore,S,50,"TensorFlow, Computer Vision, NLP, Deep Learning",11
Data Scientist,55931,EN,PT,United Kingdom,M,100,"Python, TensorFlow, AWS, Scala, Hadoop",0
Data Analyst,109982,SE,PT,Sweden,S,100,"R, SQL, GCP, Spark, Python",6
Computer Vision Engineer,76903,MI,PT,Singapore,S,0,"Data Visualization, Python, Linux, GCP",3
Principal Data Scientist,47803,MI,PT,Ireland,S,0,"Tableau, Linux, Azure, Data Visualization, Java",2
Data Scientist,75735,SE,CT,India,M,0,"GCP, Docker, AWS, Java, Statistics",9
Principal Data Scientist,55795,EN,FL,India,L,50,"Kubernetes, Git, GCP, Python",0
Principal Data Scientist,159718,EX,CT,France,M,100,"SQL, Computer Vision, Deep Learning",12
Robotics Engineer,107810,SE,FL,China,L,100,"PyTorch, TensorFlow, GCP, Spark, AWS",9
AI Product Manager,100402,SE,FT,Germany,S,50,"Azure, Kubernetes, Mathematics, Docker, Tableau",6
ML Ops Engineer,161115,EX,FL,Finland,M,0,"Mathematics, MLOps, GCP, R",13
Data Engineer,110941,MI,CT,United States,L,0,"GCP, Spark, Azure, Python",4
AI Specialist,66037,MI,FL,South Korea,M,50,"MLOps, R, Data Visualization, Scala, Docker",2
Principal Data Scientist,270252,EX,FT,Germany,L,50,"TensorFlow, Git, MLOps, Tableau",12
Data Analyst,131112,SE,FL,Netherlands,M,50,"TensorFlow, SQL, NLP",5
Research Scientist,185695,EX,FL,United Kingdom,M,50,"Spark, Python, TensorFlow, Docker",13
Research Scientist,53572,EN,CT,Canada,M,0,"Kubernetes, Computer Vision, Python",1
Research Scientist,142646,SE,FT,United Kingdom,S,0,"PyTorch, SQL, Azure, R",9
AI Specialist,127125,EX,PT,Japan,M,0,"Tableau, SQL, PyTorch, Deep Learning, Git",10
Machine Learning Researcher,186801,EX,FT,Norway,M,0,"Azure, Data Visualization, TensorFlow",15
AI Software Engineer,133565,EX,FL,India,S,100,"Hadoop, PyTorch, Docker",13
Autonomous Systems Engineer,84479,MI,CT,France,L,0,"Git, Scala, Python, TensorFlow, SQL",2
Data Analyst,122851,SE,CT,India,L,0,"Kubernetes, GCP, NLP, MLOps",5
Data Engineer,130323,SE,PT,Netherlands,S,50,"R, Python, PyTorch, AWS, Kubernetes",6
Research Scientist,223202,EX,CT,United States,L,0,"MLOps, GCP, Kubernetes, Linux, Hadoop",10
NLP Engineer,82405,MI,CT,Germany,M,0,"Spark, Statistics, Java",3
Machine Learning Engineer,137257,SE,FT,Australia,S,100,"Statistics, AWS, Mathematics, Azure, TensorFlow",9
Machine Learning Engineer,153378,MI,PT,Denmark,L,0,"Docker, Mathematics, Deep Learning, Kubernetes, TensorFlow",4
AI Research Scientist,180089,EX,CT,Finland,L,100,"Data Visualization, SQL, Docker, R, Deep Learning",17
Robotics Engineer,193391,EX,PT,Japan,L,100,"MLOps, GCP, Linux, Java",12
Autonomous Systems Engineer,184262,EX,FT,France,S,0,"SQL, Statistics, R, Linux, Python",16
Data Analyst,284013,EX,FL,Netherlands,L,0,"Python, NLP, Docker, Statistics",15
AI Consultant,62844,EN,FL,Australia,M,50,"R, Linux, Docker, Kubernetes",0
ML Ops Engineer,86961,EX,FL,Israel,S,100,"TensorFlow, Linux, Git, Docker, AWS",13
AI Software Engineer,101381,MI,CT,Netherlands,S,0,"Git, R, SQL, Computer Vision",4
Data Scientist,119076,SE,PT,United Kingdom,M,100,"R, PyTorch, GCP",7
ML Ops Engineer,39725,EN,FL,Israel,M,50,"Python, NLP, Mathematics, Kubernetes",1
Data Scientist,111609,SE,FL,China,L,100,"Hadoop, Deep Learning, Git, Python, Mathematics",6
Research Scientist,41596,EN,FT,Austria,M,50,"Tableau, NLP, PyTorch, Data Visualization",0
Research Scientist,130148,MI,PT,Switzerland,S,100,"Linux, Java, GCP, Computer Vision, Tableau",2
AI Consultant,119598,MI,PT,United States,M,100,"Statistics, Python, Kubernetes, Azure, AWS",4
AI Research Scientist,174304,EX,FT,Germany,S,100,"Java, Python, SQL, Spark",16
Data Analyst,273838,EX,PT,Norway,L,0,"MLOps, Hadoop, Python, AWS, Tableau",13
AI Product Manager,200671,SE,PT,Denmark,L,100,"Statistics, Git, Scala, Tableau",6
Data Scientist,88944,EN,PT,Australia,L,100,"Scala, Computer Vision, TensorFlow, Tableau",1
Autonomous Systems Engineer,105834,MI,PT,Switzerland,M,0,"R, SQL, Kubernetes, Statistics, Mathematics",3
ML Ops Engineer,145239,EX,FL,Japan,M,100,"Tableau, Statistics, Git, AWS",18
Data Scientist,182542,SE,FT,United Kingdom,L,0,"SQL, AWS, Scala, Deep Learning, TensorFlow",5
Computer Vision Engineer,160290,EX,PT,Ireland,S,100,"Kubernetes, Azure, SQL, AWS",16
Deep Learning Engineer,99539,SE,PT,India,M,50,"Hadoop, Python, Computer Vision, TensorFlow, GCP",9
Autonomous Systems Engineer,161117,EX,FT,Germany,S,0,"TensorFlow, Hadoop, Mathematics, GCP",11
AI Specialist,209331,EX,FT,United States,L,0,"PyTorch, Deep Learning, Data Visualization, Kubernetes, GCP",18
Machine Learning Researcher,48926,EN,FT,China,S,100,"Deep Learning, Python, TensorFlow",0
Data Scientist,96757,SE,FL,Germany,S,100,"R, PyTorch, Hadoop, Mathematics",7
ML Ops Engineer,36974,EN,FT,South Korea,M,100,"SQL, PyTorch, Java, Computer Vision, R",1
Principal Data Scientist,153812,SE,FL,Denmark,L,100,"Tableau, Python, GCP, Statistics, Deep Learning",5
Data Scientist,74063,MI,PT,South Korea,L,0,"SQL, Azure, TensorFlow, Git",4
AI Specialist,91293,EX,PT,Austria,S,0,"Git, PyTorch, TensorFlow, NLP",18
AI Product Manager,51764,EN,CT,South Korea,M,0,"Deep Learning, Scala, Azure, TensorFlow, Python",0
AI Consultant,97638,MI,FL,Canada,L,100,"Hadoop, Docker, Scala, Mathematics, Statistics",2
ML Ops Engineer,107417,MI,CT,Sweden,L,100,"GCP, Python, NLP",4
ML Ops Engineer,129743,EN,FL,Switzerland,L,100,"NLP, Linux, Tableau",1
Data Analyst,102189,SE,FT,Israel,L,100,"PyTorch, Deep Learning, TensorFlow, MLOps, Kubernetes",9
Data Engineer,96291,MI,CT,United Kingdom,S,0,"TensorFlow, Linux, Python",3
ML Ops Engineer,43233,EN,CT,Israel,S,100,"Python, Tableau, Azure",0
Robotics Engineer,55317,MI,FL,Ireland,S,50,"Data Visualization, NLP, Java, Python, Scala",4
Machine Learning Researcher,59459,EN,PT,Australia,L,50,"Java, R, Deep Learning",0
AI Architect,136980,EX,CT,Finland,S,0,"Python, Kubernetes, Mathematics, Tableau",11
Machine Learning Engineer,40975,EN,FL,Japan,S,50,"Linux, NLP, SQL, R, Scala",1
AI Specialist,285999,EX,FL,Germany,L,100,"Deep Learning, Mathematics, Python",10
AI Specialist,175470,EX,FT,Netherlands,M,50,"Mathematics, Spark, SQL",19
Data Scientist,125319,SE,CT,Denmark,S,50,"R, Spark, Statistics",7
AI Architect,68912,SE,PT,China,S,0,"GCP, Linux, Data Visualization",5
Machine Learning Researcher,41569,EN,CT,Japan,S,0,"Kubernetes, AWS, Computer Vision, Deep Learning, Docker",1
Principal Data Scientist,69873,MI,PT,Finland,M,0,"Python, AWS, MLOps, Docker, Mathematics",4
Principal Data Scientist,190178,EX,FT,Norway,S,50,"Kubernetes, Python, Data Visualization, Deep Learning, TensorFlow",17
Research Scientist,70984,MI,CT,Japan,L,50,"Java, Computer Vision, Deep Learning, Scala",3
ML Ops Engineer,88987,SE,PT,Finland,L,100,"Git, R, Hadoop",9
AI Research Scientist,121632,SE,PT,Singapore,S,100,"PyTorch, Spark, Kubernetes, Computer Vision",8
Deep Learning Engineer,48788,EN,PT,Canada,S,100,"Git, SQL, Data Visualization",1
